sensor,file_name,timestamp,range
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,25294.5,7405.8335
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,25308.0,3161.5176
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,25318.5,7808.713
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,25439.5,3576.2207
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,25809.0,5710.063
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,25831.0,7662.3325
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,25846.0,5563.999
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,25873.0,21744.57
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,26211.0,5687.6265
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,26265.0,20310.256
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,26779.0,17361.025
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27280.0,4981.285
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27302.5,15707.537
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27349.0,16929.535
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27358.0,13310.956
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27800.5,20356.865
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27811.0,4064.2454
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27821.5,17241.266
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27903.5,4204.486
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,27954.5,4705.978
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,28316.0,6034.73
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,28409.0,6540.1597
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,28848.5,6067.561
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,30267.5,13659.604
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,31018.0,7807.585
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,31640.0,6228.5933
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,33435.5,6854.431
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,36592.0,3992.5032
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,38014.0,4276.4756
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,39798.0,20057.486
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,40325.5,16945.05
