method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,3,0,False,False,False,1.0,1.8554137741547545e-10,2.2737367544323206e-13,0.0,,1.9103516206189716e-10,0.0,2.2737367544323206e-13,
inf,3,0,False,False,False,1.0,1.4188408849375265e-10,6.821210263296962e-13,0.0,,1.4805501083264704e-10,2.2737367544323206e-13,2.2737367544323206e-13,
inf,3,0,False,False,False,1.0,1.397549295101621e-10,4.547473508864641e-13,4.547473508864641e-13,,1.2646310433582347e-10,0.0,0.0,
inf,3,0,False,False,False,1.0,9.01963027138436e-11,6.431098710768743e-13,0.0,,9.053498985793413e-11,2.2737367544323206e-13,0.0,
inf,3,0,False,False,False,1.0,5.441076282423883e-11,8.198074455012805e-13,2.2737367544323206e-13,,7.062249784719289e-11,5.084229945850415e-13,5.084229945850415e-13,
inf,4,0,False,False,False,1.0,7.298128296362862e-11,1.016845989170083e-12,4.547473508864641e-13,1.1528463374453268e-11,3.367050234689422e-11,1.016845989170083e-12,4.547473508864641e-13,5.8584570439688e-11
inf,4,0,False,False,False,1.0,3.4387590558700645e-11,1.3830600733622803e-12,6.431098710768743e-13,2.432677600742134e-10,4.0203369472329255e-11,1.1368683772161603e-12,6.431098710768743e-13,2.2218350373636284e-10
inf,4,0,False,False,False,1.0,3.4639243312988974e-11,2.033691978340166e-12,2.2737367544323206e-13,3.414819176044891e-10,2.5175923902982338e-11,1.3830600733622803e-12,1.3642420526593924e-12,2.2353466960919784e-10
inf,4,0,False,False,False,1.0,2.7132835184922985e-11,5.4569682106375694e-12,4.547473508864641e-13,4.759037488426539e-10,3.5535093975540314e-11,6.836351703156155e-12,2.5421149729252077e-12,4.4592038732472484e-10
inf,4,0,False,False,False,1.0,1.7053025658242404e-11,9.55240081457305e-12,1.016845989170083e-12,7.521826149166352e-10,2.019405957178107e-11,7.1901869436450835e-12,2.2737367544323206e-13,3.212226893369567e-10
inf,4,0,False,False,False,1.0,5.64784493161561e-12,2.1865735616613724e-11,1.6553053431563326e-12,6.386984823121859e-13,7.823769253302659e-12,2.1680530046178713e-11,1.6553053431563326e-12,3.06111178766429e-13
inf,4,0,False,False,False,1.0,2.8760747774580336e-12,4.374388243830874e-11,3.2554955994956693e-12,3.595093471822542e-13,2.9118037843694986e-12,4.374388243830874e-11,1.224444715065716e-12,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,1.8189894035458565e-12,1.0426837144947582e-10,2.033691978340166e-12,2.2737367544323206e-13,4.367705676554248e-12,1.1530154727909014e-10,5.308091899646002e-12,3.8131724593878115e-13
inf,4,0,False,False,False,1.0,1.1368683772161603e-12,3.098832938466067e-10,3.279229782005122e-12,5.684341886080801e-13,1.1368683772161603e-12,3.098832938466067e-10,5.229594535194337e-12,3.595093471822542e-13
inf,4,0,False,False,False,1.0,3.0607739911737824e-11,8.644777042151026e-10,2.2737367544323206e-12,1.6077746776921858e-13,2.706033328070014e-11,8.109901069193257e-10,6.067086389578587e-12,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,7.659759842735687e-11,4.547473508864641e-13,8.914092079027186e-12,1.6077746776921858e-13,8.388116587866634e-11,4.547473508864641e-13,2.0297478755739403e-11,3.595093471822542e-13
inf,4,0,False,False,False,1.0,2.292667523289638e-10,4.547473508864641e-13,8.971901323524826e-12,4.687428401686771e-13,2.56369541151858e-10,0.0,1.2486934990871288e-11,5.796914039811764e-13
inf,4,0,False,False,False,1.0,5.533522746121691e-10,0.0,5.536910822177525e-12,5.084229945850415e-13,5.925846562284494e-10,0.0,1.0469070214841247e-11,6.12222357532858e-13
inf,4,0,False,False,False,1.0,1.402053268139853e-09,0.0,1.073242285311239e-11,3.595093471822542e-13,1.3465742678686439e-09,0.0,1.5785694775067698e-11,2.5421149729252077e-13
inf,4,0,False,False,False,1.0,0.0,0.0,1.1656089207441525e-11,5.796914039811764e-13,0.0,0.0,1.0130256400746231e-11,2.5421149729252077e-13
inf,4,0,False,False,False,1.0,0.0,0.0,1.0547786136833748e-11,1.1368683772161603e-13,0.0,0.0,1.7429345368088252e-11,3.2155493553843715e-13
inf,4,0,False,False,False,1.0,9.374856803373542e-13,0.0,7.346668290394296e-12,1.1368683772161603e-13,9.374856803373542e-13,4.547473508864641e-13,6.915300366811402e-12,1.1368683772161603e-13
inf,4,0,False,False,False,1.0,9.374856803373542e-13,5.084229945850415e-13,3.279229782005122e-12,4.687428401686771e-13,2.2737367544323206e-13,4.547473508864641e-13,3.310610686312665e-12,5.084229945850415e-13
inf,4,0,False,False,False,1.0,0.0,6.431098710768743e-13,4.497403020461131e-11,1.1368683772161603e-13,9.165725883006586e-13,9.374856803373542e-13,4.598348008620788e-11,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,0.0,5.084229945850415e-13,1.637875030168527e-10,1.1368683772161603e-13,1.1368683772161603e-13,0.0,1.7529021030578947e-10,3.410605131648481e-13
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,5.084229945850415e-13,6.602987908269351e-10,5.684341886080801e-13,9.094947017729282e-13,5.084229945850415e-13,5.88899926331735e-10,2.5421149729252077e-13
inf,4,0,False,False,False,1.0,3.410605131648481e-13,4.547473508864641e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,5.084229945850415e-13,0.0,9.713407672867936e-13
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,2.2737367544323206e-13,0.0,5.684341886080801e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,5.084229945850415e-13
inf,4,0,False,False,False,1.0,9.165725883006586e-13,4.547473508864641e-13,9.374856803373542e-13,6.915300366811402e-13,5.684341886080801e-13,2.2737367544323206e-13,9.094947017729282e-13,3.410605131648481e-13
inf,4,0,False,False,False,1.0,1.1368683772161603e-13,0.0,2.2737367544323206e-13,3.410605131648481e-13,1.1368683772161603e-13,0.0,2.2737367544323206e-13,8.87922587470104e-13
inf,4,0,False,False,False,1.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,3.2155493553843715e-13,0.0,2.2737367544323206e-13,9.374856803373542e-13,9.165725883006586e-13
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,5.084229945850415e-13,4.547473508864641e-13,1.3642420526593924e-12,3.410605131648481e-13,0.0,2.2737367544323206e-13,7.190186943645084e-13
inf,4,0,False,False,False,1.0,9.165725883006586e-13,4.547473508864641e-13,0.0,9.713407672867936e-13,4.547473508864641e-13,2.2737367544323206e-13,0.0,4.0990372275064023e-13
inf,4,0,False,False,False,1.0,0.0,2.2737367544323206e-13,0.0,2.990633774508275e-12,2.2737367544323206e-13,0.0,0.0,2.195657534210564e-12
