in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
True,inf,0,2,0,False,False,False,1.0,2.02464735771025e-11;1.2862197421537486e-12;,2.1214097954358834e-11;1.3642420526593924e-12;
True,inf,0,2,0,False,False,False,1.0,1.356737025687701e-10;2.934794392833747e-11;,1.5086685641240076e-10;2.9118037843694986e-11;
True,inf,0,2,0,False,False,False,1.0,7.130505760356432e-11;0.0;,3.921284947399982e-10;0.0;
True,inf,0,2,0,False,False,False,1.0,0.0;0.0;,5.084229945850415e-13;0.0;
True,inf,0,2,0,False,False,False,1.0,2.8421709430404007e-13;8.738470578717024e-10;,9.927276321703277e-13;8.644431371037412e-10;
True,inf,0,2,0,False,False,False,1.0,4.897778860262864e-12;1.7053025658242404e-13;,5.536910822177525e-12;3.979039320256561e-13;
True,inf,0,2,0,False,False,False,1.0,9.099386826154683e-13;1.5463081705019526e-12;,2.842170943040401e-14;5.684341886080801e-13;
True,inf,0,2,0,False,False,False,1.0,1.1368683772161603e-13;2.4170153239389606e-12;,2.2737367544323206e-13;3.0926163410039053e-12;
True,inf,0,2,0,False,False,False,1.0,0.0;1.2862197421537486e-12;,0.0;1.016845989170083e-12;
True,inf,0,2,0,False,False,False,1.0,6.431098710768743e-13;0.0;,6.431098710768743e-13;4.547473508864641e-13;
True,inf,0,2,0,False,False,False,1.0,1.999862638642106e-11;3.225676055975163e-10;,2.06425370954844e-11;3.319344176069473e-10;
True,inf,0,2,0,False,False,False,1.0,0.0;8.138738998739173e-12;,2.2737367544323206e-13;5.744578726528399e-12;
True,inf,0,2,0,False,False,False,1.0,3.410605131648481e-13;1.6264514374735866e-10;,2.3437142008433856e-13;1.8511736389881646e-10;
True,inf,0,2,0,False,False,False,1.0,3.979039320256561e-13;2.2737367544323206e-13;,1.7053025658242404e-13;6.821210263296962e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;0.0;,0.0;0.0;
True,inf,0,2,0,False,False,False,1.0,8.264024402427025e-12;0.0;,5.206062788536342e-12;4.547473508864641e-13;
True,inf,0,2,0,False,False,False,1.0,1.7053025658242404e-13;2.2737367544323206e-13;,5.684341886080802e-14;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,9.094947017729282e-13;2.8760747774580336e-12;,9.094947017729282e-13;1.224444715065716e-12;
True,inf,0,2,0,False,False,False,1.0,1.5962838729156904e-11;0.0;,7.561510197178022e-12;0.0;
True,inf,0,2,0,False,False,False,1.0,1.775845174940208e-12;4.4447802597526465e-10;,1.775845174940208e-12;4.6433512488695524e-10;
True,inf,0,2,0,False,False,False,1.0,4.0990372275064023e-13;3.410605131648481e-13;,4.0990372275064023e-13;1.1368683772161603e-13;
True,inf,0,2,0,False,False,False,1.0,3.033311409600256e-10;2.0597407151391778e-12;,3.0604598069770004e-10;2.5579538487363607e-12;
True,inf,0,2,0,False,False,False,1.0,0.0;2.0179413695586845e-12;,2.2737367544323206e-13;2.4933470057773444e-12;
True,inf,0,2,0,False,False,False,1.0,3.410605131648481e-13;2.2737367544323206e-13;,5.684341886080801e-13;2.2737367544323206e-13;
