num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
1,0,False,False,False,1.0,2.2737367544323206e-13;,8.134767913360665e-12;
1,0,False,False,False,1.0,2.5994338357604597e-10;,6.366462912410498e-12;
1,0,False,False,False,1.0,8.631004090214566e-10;,3.637978807091713e-12;
1,0,False,False,False,1.0,1.7828184158054372e-11;,1.3167586270734668e-10;
1,0,False,False,False,1.0,4.547473508864641e-13;,9.374856803373543e-12;
1,0,False,False,False,1.0,2.5724394843074972e-12;,1.0289757937229989e-11;
1,0,False,False,False,1.0,2.54874170320825e-09;,1.8189894035458565e-12;
1,0,False,False,False,1.0,0.0;,8.580155856231252e-12;
1,0,,True,False,,,
1,0,False,False,False,1.0,2.4461324553906824e-09;,1.3882834102763579e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,8.134767913360665e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,5.4569682106375694e-12;
1,0,False,False,False,1.0,8.440625653966494e-12;,4.547473508864641e-12;
1,0,False,False,False,1.0,8.385126836667848e-12;,9.795557720525728e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,9.094947017729282e-12;
1,0,False,False,False,1.0,4.839129358536151e-10;,5.556298085237182e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,2.05553851068786e-10;,1.55414522765887e-11;
1,0,False,False,False,1.0,1.2361272907788613e-10;,7.71731845292249e-12;
1,0,False,False,False,1.0,3.4707085256908947e-12;,1.6770253673335696e-11;
1,0,False,False,False,1.0,3.586328014351974e-10;,3.710024985479529e-11;
1,0,False,False,False,1.0,4.391880134272539e-10;,2.1903532940618417e-11;
1,0,False,False,False,1.0,1.0130256400746231e-11;,1.3116919128020487e-11;
1,0,False,False,False,1.0,1.3642420526593924e-12;,1.412647595044206e-11;
1,0,False,False,False,1.0,1.016845989170083e-12;,3.6662903532026344e-12;
1,0,False,False,False,1.0,0.0;,1.4665161412810538e-11;
1,0,False,False,False,1.0,8.134767913360665e-12;,3.1295077013210636e-11;
1,0,False,False,False,1.0,0.0;,4.834030647877921e-12;
1,0,False,False,False,1.0,2.000888343900442e-11;,5.9117155615240335e-12;
1,0,False,False,False,1.0,1.8023605914517355e-10;,1.324244274525066e-11;
1,0,False,False,False,1.0,2.5724394843074972e-12;,2.220359531881277e-11;
1,0,False,False,False,1.0,1.5916157281026244e-12;,2.548208745087668e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,7.275957614183426e-12;
1,0,False,False,False,1.0,0.0;,2.121287941861847e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,7.347547867564811e-12;,8.134767913360665e-12;
1,0,False,False,False,1.0,6.558459564010244e-12;,6.688961005492054e-11;
1,0,False,False,False,1.0,3.637978807091713e-12;,8.134767913360665e-12;
1,0,False,False,False,1.0,1.3642420526593924e-12;,4.4787419946242626e-12;
1,0,False,False,False,1.0,8.829596408280667e-12;,1.0265612988967378e-10;
1,0,False,False,False,1.0,2.5724394843074972e-12;,4.067383956680332e-12;
1,0,,True,False,,,
1,0,False,False,False,1.0,2.033691978340166e-12;,1.0951766470309208e-11;
1,0,False,False,False,1.0,4.547473508864641e-12;,9.094947017729282e-12;
1,0,False,False,False,1.0,1.8189894035458565e-12;,3.637978807091713e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,4.547473508864641e-12;
1,0,False,False,False,1.0,2.009139464860211e-11;,1.1064480586898243e-11;
1,0,False,False,False,1.0,1.4648569113179826e-09;,2.7284841053187847e-12;
1,0,False,False,False,1.0,0.0;,1.0606439709309235e-11;
1,0,False,False,False,1.0,0.0;,1.55414522765887e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,0.0;
1,0,False,False,False,1.0,9.094947017729282e-13;,3.183231456205249e-11;
