k,consistency_thresh,method_thresh,prune,max_time_offset,measurement_variance,success_rate,theta_error,std
4,3500,0.95,False,0,100.0,True,0.1451704294973765,10.0
4,3500,0.95,False,0,100.0,True,0.0222345429687038,10.0
4,3500,0.95,False,0,100.0,True,0.3430402454947909,10.0
4,3500,0.95,False,0,100.0,True,0.0078794986640104,10.0
4,3500,0.95,False,0,100.0,True,0.2675902214084402,10.0
4,3500,0.95,False,0,100.0,True,0.3902055974802465,10.0
4,3500,0.95,False,0,100.0,True,0.0947208408355919,10.0
4,3500,0.95,False,0,100.0,True,3.465241836516718,10.0
4,3500,0.95,False,0,100.0,True,0.1982021516289833,10.0
4,3500,0.95,False,0,100.0,True,0.1601099618118553,10.0
4,3500,0.95,False,0,100.0,True,0.1885555546588762,10.0
4,3500,0.95,False,0,100.0,True,0.0132448706010848,10.0
4,3500,0.95,False,0,100.0,True,0.0153081699059214,10.0
4,3500,0.95,False,0,100.0,True,0.2448855453899057,10.0
4,3500,0.95,False,0,100.0,True,0.0161397953256638,10.0
4,3500,0.95,False,0,100.0,True,0.0338553917611648,10.0
4,3500,0.95,False,0,100.0,True,0.4548462171878498,10.0
4,3500,0.95,False,0,100.0,True,0.2413087760840824,10.0
4,3500,0.95,False,0,100.0,True,0.4128713157480206,10.0
4,3500,0.95,False,0,100.0,True,0.095439283346451,10.0
4,3500,0.95,False,0,100.0,True,0.0848709124442592,10.0
4,3500,0.95,False,0,100.0,True,0.2177013632933579,10.0
4,3500,0.95,False,0,100.0,True,0.2414691821567203,10.0
4,3500,0.95,False,0,100.0,True,0.0518619625702569,10.0
4,3500,0.95,False,0,100.0,True,0.0355449055566481,10.0
4,3500,0.95,False,0,100.0,True,0.4462911363496289,10.0
4,3500,0.95,False,0,100.0,True,4.7757561149525145,10.0
4,3500,0.95,False,0,100.0,True,0.0459502247073544,10.0
4,3500,0.95,False,0,100.0,True,1.5852020387731471,10.0
4,3500,0.95,False,0,100.0,True,0.5014954669045153,10.0
4,3500,0.95,False,0,100.0,True,0.0474242517241556,10.0
4,3500,0.95,False,0,100.0,True,0.0570130219886948,10.0
4,3500,0.95,False,0,100.0,True,0.0276055967222532,10.0
4,3500,0.95,False,0,100.0,True,0.2110519628774483,10.0
4,3500,0.95,False,0,100.0,True,0.0187133401802537,10.0
4,3500,0.95,False,0,100.0,True,0.5049562027820915,10.0
4,3500,0.95,False,0,100.0,True,0.3509821985715113,10.0
4,3500,0.95,False,0,100.0,True,0.2202132239479297,10.0
4,3500,0.95,False,0,100.0,True,0.1064385185995391,10.0
