k,consistency_thresh,method_thresh,prune,max_time_offset,std,success_rate,theta,theta_hat,num_OOB,best_theta_hat
4,2,0.95,False,0,0,True,84.76818675052084,84.76818675052085,0,84.76818675052085
4,2,0.95,False,0,0,True,71.44460215202977,71.44460215202976,0,71.44460215202976
4,2,0.95,False,0,0,True,-41.10612058092597,-41.106120580925946,0,-41.106120580925946
4,2,0.95,False,0,0,True,-42.37481349890451,-42.374813498904516,0,-42.374813498904516
4,2,0.95,False,0,0,True,58.92896116087957,58.92896116087957,0,58.92896116087957
4,2,0.95,False,0,0,True,5.257206717149836,5.257206717149848,0,5.257206717149848
4,2,0.95,False,0,0,True,71.87118805255169,71.8711880525517,0,71.8711880525517
4,2,0.95,False,0,0,True,65.37208425458441,65.3720842545844,0,65.3720842545844
4,2,0.95,False,0,0,True,-84.79615820397757,-84.7961582039776,0,-84.7961582039776
4,2,0.95,False,0,0,True,38.485742216457716,38.48574221645771,0,38.48574221645771
4,2,0.95,False,0,0,True,-89.11464331919655,-89.11464331919653,0,-89.11464331919653
4,2,0.95,False,0,0,True,26.64994067889592,26.64994067889587,0,26.64994067889587
4,2,0.95,False,0,0,True,70.76339311216852,70.7633931121685,0,70.7633931121685
4,2,0.95,False,0,0,True,-19.530531818845564,-19.530531818845567,0,-19.530531818845567
4,2,0.95,False,0,0,True,-84.88137213246578,-84.88137213246578,0,-84.88137213246578
4,2,0.95,False,0,0,True,76.27214534509606,76.27214534509606,0,76.27214534509606
4,2,0.95,False,0,0,True,-16.25215094930281,-16.252150949302795,0,-16.252150949302795
4,2,0.95,False,0,0,True,-87.38558566784778,-87.38558566784779,0,-87.38558566784779
4,2,0.95,False,0,0,True,-15.932253429306908,-15.932253429306908,0,-15.932253429306908
4,2,0.95,False,0,0,True,-17.849566942250153,-17.849566942250103,0,-17.849566942250103
4,2,0.95,False,0,0,True,-53.99787563267745,-53.99787563267741,0,-53.99787563267741
4,2,0.95,False,0,0,True,22.249679835705667,22.24967983570567,0,22.24967983570567
4,2,0.95,False,0,0,True,-54.12048466042067,-54.120484660420665,0,-54.120484660420665
4,2,0.95,False,0,0,True,-11.090538019289504,-11.09053801928949,0,-11.09053801928949
4,2,0.95,False,0,0,True,-2.32675774604902,-2.3267577460490454,0,-2.3267577460490454
4,2,0.95,False,0,0,True,12.257533338236632,12.257533338236621,0,12.257533338236621
4,2,0.95,False,0,0,True,10.842391482969111,10.842391482969157,0,10.842391482969157
4,2,0.95,False,0,0,True,-66.48933770927397,-66.48933770927398,0,-66.48933770927398
4,2,0.95,False,0,0,True,-49.70067508795528,-49.700675087955254,0,-49.700675087955254
4,2,0.95,False,0,0,True,7.615734273977033,7.615734273977019,0,7.615734273977019
4,2,0.95,False,0,0,True,-22.61231450521143,-22.6123145052114,0,-22.6123145052114
4,2,0.95,False,0,0,True,-50.148021087627846,-50.148021087627846,0,-50.148021087627846
4,2,0.95,False,0,0,True,54.824326143404186,54.82432614340419,0,54.82432614340419
4,2,0.95,False,10,0,True,-37.07399296812487,-37.073992968124884,0,-37.073992968124884
4,2,0.95,False,10,0,True,-74.84932202325218,-74.84932202325216,0,-74.84932202325216
4,2,0.95,False,10,0,True,38.43467043967307,38.434670439673056,0,38.434670439673056
4,2,0.95,False,10,0,True,-56.849374058990946,-56.84937405899094,0,-56.84937405899094
4,2,0.95,False,10,0,True,47.43694385279599,47.43694385279597,0,47.43694385279597
4,2,0.95,False,10,0,True,74.49389863905927,74.49389863905925,0,74.49389863905925
4,2,0.95,False,10,0,True,-67.62517039454129,-67.62517039454131,0,-67.62517039454131
4,2,0.95,False,10,0,True,72.01432308810051,72.01432308810048,0,72.01432308810048
4,2,0.95,False,10,0,True,73.37475288179421,73.3747528817942,0,73.3747528817942
4,2,0.95,False,10,0,True,63.21746626899638,63.21746626899637,0,63.21746626899637
4,2,0.95,False,10,0,True,-11.189915512961282,-11.189915512961269,0,-11.189915512961269
4,2,0.95,False,10,0,True,62.099482084964464,62.09948208496443,0,62.09948208496443
4,2,0.95,False,10,0,True,-59.5992040700713,-59.59920407007131,0,-59.59920407007131
