k,consistency_thresh,method_thresh,prune,max_time_offset,measurement_variance,success_rate,theta_error,std
4,1000,0.95,False,0,100.0,True,0.0033371978458056,10.0
4,1000,0.95,False,0,100.0,True,0.259055800316645,10.0
4,1000,0.95,False,0,100.0,True,0.0090031102825491,10.0
4,1000,0.95,False,0,100.0,True,0.0553470106201103,10.0
4,1000,0.95,False,0,100.0,True,0.1082157629498166,10.0
4,1000,0.95,False,0,100.0,True,0.1019985353341113,10.0
4,1000,0.95,False,0,100.0,True,0.0084648482791465,10.0
4,1000,0.95,False,0,100.0,True,0.0037435286146347,10.0
4,1000,0.95,False,0,100.0,True,0.0851641153110778,10.0
4,1000,0.95,False,0,100.0,True,0.0746292252075591,10.0
4,1000,0.95,False,0,100.0,True,0.0167220308709659,10.0
4,1000,0.95,False,0,100.0,True,0.0064810152412064,10.0
4,1000,0.95,False,0,100.0,True,0.0053150383809992,10.0
4,1000,0.95,False,0,100.0,True,0.0124977947218241,10.0
4,1000,0.95,False,0,100.0,True,0.0570951059072903,10.0
4,1000,0.95,False,0,100.0,True,0.2078199569930205,10.0
4,1000,0.95,False,0,100.0,True,0.1300864819119276,10.0
4,1000,0.95,False,0,100.0,True,0.0485327320155875,10.0
4,1000,0.95,False,0,100.0,True,0.0300709222524346,10.0
4,1000,0.95,False,0,100.0,True,0.0269713032303116,10.0
4,1000,0.95,False,0,100.0,True,0.1016814365421652,10.0
4,1000,0.95,False,0,100.0,True,0.0961375696309048,10.0
4,1000,0.95,False,0,100.0,True,0.021305817310619,10.0
4,1000,0.95,False,0,100.0,True,0.0030102047872162,10.0
4,1000,0.95,False,0,100.0,True,0.0225908341521261,10.0
4,1000,0.95,False,0,100.0,True,0.1072441940110877,10.0
4,1000,0.95,False,0,100.0,True,0.0968087376086401,10.0
4,1000,0.95,False,0,100.0,True,0.1512382579886804,10.0
4,1000,0.95,False,0,100.0,True,0.0297656135844022,10.0
4,1000,0.95,False,0,100.0,True,0.000135549999868,10.0
4,1000,0.95,False,0,100.0,True,0.0023580529404654,10.0
4,1000,0.95,False,0,100.0,True,0.005361877334991,10.0
4,1000,0.95,False,0,100.0,True,0.0848916654410913,10.0
4,1000,0.95,False,0,100.0,True,0.0831971734486529,10.0
4,1000,0.95,False,0,100.0,True,0.0316642613896931,10.0
4,1000,0.95,False,0,100.0,True,0.0191560102504766,10.0
4,1000,0.95,False,0,100.0,True,0.1232915526993849,10.0
4,1000,0.95,False,0,100.0,True,0.0925639386155978,10.0
4,1000,0.95,False,0,100.0,True,0.0452687562222564,10.0
4,1000,0.95,False,0,100.0,True,0.1091104405271323,10.0
4,1000,0.95,False,0,100.0,True,0.0869711761511382,10.0
4,1000,0.95,False,0,100.0,True,0.0164120594897383,10.0
4,1000,0.95,False,0,100.0,True,0.0100145082763276,10.0
4,1000,0.95,False,0,100.0,True,0.0911022646643004,10.0
4,1000,0.95,False,0,100.0,True,0.7040810800868655,10.0
4,1000,0.95,False,0,100.0,True,0.080631968380743,10.0
4,1000,0.95,False,0,100.0,True,0.076386484351687,10.0
4,1000,0.95,False,0,100.0,True,0.0584864074205881,10.0
4,1000,0.95,False,0,100.0,True,0.1364042674295404,10.0
4,1000,0.95,False,0,100.0,True,0.0418778595975766,10.0
4,1000,0.95,False,0,100.0,True,0.026158602024779,10.0
4,1000,0.95,False,0,100.0,True,0.0255143421013741,10.0
4,1000,0.95,False,0,100.0,True,0.069846838721574,10.0
4,1000,0.95,False,0,100.0,True,0.0271029662297621,10.0
4,1000,0.95,False,0,100.0,True,0.0459502247073544,10.0
4,1000,0.95,False,0,100.0,True,0.1938867145694729,10.0
4,1000,0.95,False,0,100.0,True,0.029133511878868,10.0
4,1000,0.95,False,0,100.0,True,0.0109394193286433,10.0
4,1000,0.95,False,0,100.0,True,0.0051341614847615,10.0
4,1000,0.95,False,0,100.0,True,0.0276055967222674,10.0
4,1000,0.95,False,0,100.0,True,0.0427996155698764,10.0
4,1000,0.95,False,0,100.0,True,0.0293744674409772,10.0
4,1000,0.95,False,0,100.0,True,0.0100424205836109,10.0
4,1000,0.95,False,0,100.0,True,0.0937732060976284,10.0
4,1000,0.95,False,0,100.0,True,0.1889857951433953,10.0
4,1000,0.95,False,0,100.0,True,0.0529174441756978,10.0
4,1000,0.95,False,0,100.0,True,0.0271958215157326,10.0
4,1000,0.95,False,0,100.0,True,0.0120918154372033,10.0
4,1000,0.95,False,0,100.0,True,0.2106656793444656,10.0
4,1000,0.95,False,0,100.0,True,0.1353800315515343,10.0
4,1000,0.95,False,0,100.0,True,0.0392754548031906,10.0
4,1000,0.95,False,0,100.0,True,0.3125725974455235,10.0
4,1000,0.95,False,0,100.0,True,0.0297612918079721,10.0
4,1000,0.95,False,0,100.0,True,0.0267921786417275,10.0
4,1000,0.95,False,0,100.0,True,0.0063505964699643,10.0
4,1000,0.95,False,0,100.0,True,0.0372833207582381,10.0
4,1000,0.95,False,0,100.0,True,0.0910724569768177,10.0
4,1000,0.95,False,0,100.0,True,0.1420297609597867,10.0
4,1000,0.95,False,0,100.0,True,0.0036489257772416,10.0
4,1000,0.95,False,0,100.0,True,0.0407696352502995,10.0
4,1000,0.95,False,0,100.0,True,0.0148456593777837,10.0
4,1000,0.95,False,0,100.0,True,0.0771804331555756,10.0
4,1000,0.95,False,0,100.0,True,0.069654284804983,10.0
4,1000,0.95,False,0,100.0,True,0.1228504324302264,10.0
4,1000,0.95,False,0,100.0,True,0.0428538770780164,10.0
