method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,n_delete,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,4,0,False,False,False,1.0,2,1.4380373887290168e-12,7.735125784656808e-11,7.731540852509763e-13,4.547473508864641e-13,1.3642420526593924e-12,5.3849772140449017e-11,5.084229945850415e-13,0.0
inf,4,0,False,False,False,1.0,2,3.749942721349417e-12,3.6662903532026344e-12,4.582862941503293e-13,1.016845989170083e-12,2.033691978340166e-12,3.6662903532026344e-12,2.5579538487363607e-13,1.016845989170083e-12
inf,4,0,False,False,False,1.0,2,2.7840047305315177e-11,1.639614891002561e-12,4.62671908852022e-13,4.547473508864641e-13,2.6690996657324266e-11,3.0505379675102492e-12,1.4210854715202004e-13,1.016845989170083e-12
inf,4,0,False,False,False,1.0,2,1.546140993013978e-11,7.279509460923746e-13,4.547473508864641e-13,0.0,1.596804383196235e-11,9.165725883006586e-13,2.9669052055996004e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,2,8.829596408280667e-12,1.1368683772161603e-13,7.709830713040636e-12,0.0,1.0014771553662849e-11,2.2737367544323206e-13,1.2486449798190899e-11,0.0
inf,4,0,False,False,False,1.0,2,1.454531563199544e-09,2.2737367544323206e-13,6.233367514443361e-13,0.0,1.454531563199544e-09,6.252776074688882e-13,2.4548197509021956e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,2,3.012336521656688e-11,5.684341886080802e-14,4.126167612367716e-12,0.0,2.2618824214888968e-11,3.410605131648481e-13,3.2311183834093616e-12,0.0
inf,4,0,False,False,False,1.0,2,0.0,7.731540852509763e-13,1.285623753985891e-11,0.0,4.547473508864641e-13,2.8421709430404007e-13,8.92351156525838e-12,0.0
inf,4,0,False,False,False,1.0,2,4.406358692633969e-11,4.856703836433968e-13,5.684341886080802e-14,1.0219175716994974e-11,4.1164055738166484e-11,5.684341886080801e-13,1.8474111129762605e-13,1.0809221133972381e-11
inf,4,0,False,False,False,1.0,2,5.978673951634067e-11,1.1368683772161603e-13,2.0481386655088124e-11,4.547473508864641e-13,6.578765659324383e-11,3.979039320256561e-13,7.2416959556823825e-12,0.0
inf,4,0,False,False,False,1.0,2,0.0,5.684341886080802e-14,1.6051278745539027e-11,0.0,0.0,4.556346636343676e-13,2.874297417394768e-11,0.0
inf,4,0,False,False,False,1.0,2,9.169786105332372e-11,5.684341886080802e-14,1.6165035590075146e-10,4.547473508864641e-13,1.0908724530091038e-10,6.042538309847401e-13,2.239583142674735e-10,0.0
inf,4,0,False,False,False,1.0,2,0.0,4.582862941503293e-13,8.031518599895889e-11,8.385126836667848e-12,6.431098710768743e-13,5.084229945850415e-13,4.7442989546577516e-11,6.9414170513817895e-12
inf,4,0,False,False,False,1.0,2,4.547473508864641e-13,3.694822225952521e-13,1.015474586362086e-10,9.094947017729282e-13,9.094947017729282e-13,2.984279490192421e-13,8.242054636790259e-11,0.0
inf,4,0,False,False,False,1.0,2,1.560863561671049e-10,3.694822225952521e-13,4.295591618370145e-11,1.7375871879760597e-11,1.7165673472228547e-10,8.556067554929069e-13,1.5683331302214125e-11,1.6596720880347365e-11
inf,4,0,False,False,False,1.0,2,4.9288991099939e-10,7.789117125031678e-13,2.1316282072803006e-13,0.0,4.420602716967337e-10,7.789117125031678e-13,1.6131539369065407e-09,0.0
inf,4,0,False,False,False,1.0,2,3.9089760635473073e-11,1.6342482922482304e-13,3.045100675046681e-11,4.547473508864641e-13,5.864830587620265e-11,1.5631940186722204e-13,2.220902000343433e-11,4.547473508864641e-13
inf,4,0,False,False,False,1.0,2,4.547473508864641e-13,1.7053025658242404e-13,4.279520504660175e-12,0.0,4.547473508864641e-13,3.126388037344441e-13,6.991740519879386e-12,1.016845989170083e-12
inf,4,0,False,False,False,1.0,2,9.094947017729282e-13,1.4210854715202004e-13,1.0082298471307245e-11,0.0,0.0,2.4158453015843406e-13,1.8705393461645282e-11,9.094947017729282e-13
inf,4,0,False,False,False,1.0,2,5.967512103482e-10,2.2737367544323206e-13,4.942763259425276e-11,2.033691978340166e-12,6.0869661339239e-10,2.2737367544323206e-13,4.942763259425276e-11,3.310610686312665e-12
inf,4,0,False,False,False,1.0,2,0.0,3.694822225952521e-13,4.5172369144172273e-10,1.2862197421537486e-12,1.016845989170083e-12,4.963638160851638e-13,7.053281879864927e-10,1.2862197421537486e-12
inf,4,0,False,False,False,1.0,2,0.0,1.1368683772161603e-13,4.556346636343676e-13,0.0,0.0,8.526512829121202e-13,1.9895196601282805e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,2,0.0,6.821210263296962e-13,2.914133183400037e-11,1.251175171291616e-11,0.0,5.684341886080801e-13,2.5547939292487434e-12,1.2934344934663288e-11
